image_id,species,datetime,waterhole
IMG001,Asian Elephant,5/5/2024 18:12,Chattai
IMG004,Asian Elephant,5/14/2024 19:25,Khairi-1
IMG005,Barking Deer,5/6/2024 18:01,1no.Fireline
IMG007,Barking Deer,5/20/2024 11:31,1no.Fireline
IMG008,Barking Deer,5/5/2024 23:19,Chattai
IMG009,Barking Deer,5/5/2024 5:50,Gandheli
IMG010,Birds,5/6/2024 18:42,Khairi-1
IMG011,Four-horned Antelope,5/17/2024 11:38,1no.Fireline
IMG012,Four-horned Antelope,5/5/2024 11:45,1no.Fireline
IMG013,Four-horned Antelope,5/19/2024 11:48,1no.Fireline
IMG015,Four-horned Antelope,5/19/2024 14:17,Chattai
IMG016,Four-horned Antelope,5/3/2024 12:39,Gandheli
IMG017,Four-horned Antelope,5/3/2024 14:29,Gandheli
IMG019,Four-horned Antelope,5/18/2024 11:08,Gotheri
IMG020,Indian Crested Porcupine,5/5/2024 4:17,Gandheli
IMG023,Indian Grey Mongoose,5/14/2024 18:03,Gandheli
IMG026,Indian Grey Mongoose,5/7/2024 5:31,Khairi-1
IMG028,Indian Hare,5/11/2024 21:23,Gandheli
IMG029,Tiger,5/11/2024 21:23,Gandheli
IMG031,Rhesus Monkey,5/19/2024 9:41,1no.Fireline
IMG033,Spotted Deer,5/3/2024 15:36,Gandheli
IMG037,Spotted Deer,5/13/2024 15:14,Gandheli
IMG041,Spotted Deer,5/16/2024 18:51,Gotheri
IMG043,Tiger,5/26/2024 2:59,Khairi-1
IMG044,Wild Boar,5/5/2024 18:42,Khairi-1
IMG046,Wild Boar,5/6/2024 5:31,Khairi-1
IMG049,Wild Boar,5/16/2024 6:32,Panimuhan
